measurement_id,sample_id,source_id,measurement_mode,experiment_type,temperature_raw,temperature_c,pressure_raw,pressure_bar,pressure_relation,duration_raw,duration_seconds,hydrogen_capacity_wt_pct,capacity_lower_wt_pct,capacity_upper_wt_pct,capacity_basis,value_qualifier,reported_uncertainty_wt_pct,cycle_number,source_pdf_page,source_locator,extraction_type,extraction_note,include_in_default_training
M-0070,S-F09-NCM7,SRC-0009,desorption,isothermal_kinetics,250 C,250,,,,20 min,1200,5,,,sample mass,reported,,,1,Abstract; Fig. 4b,author_reported_text,,true
M-0071,S-F09-NCM7,SRC-0009,absorption,isothermal_kinetics,125 C,125,,,,10 min,600,5.5,,,sample mass,reported,,,1,Abstract; Fig. 4c,author_reported_text,,true
M-0072,S-F09-NCM7,SRC-0009,absorption,isothermal_kinetics,100 C,100,,,,20 min,1200,5.4,,,sample mass,approximately,,,4,Section 3.2; Fig. 4c,author_reported_text,,true
M-0073,S-F09-CTRL,SRC-0009,desorption,isothermal_kinetics,300 C,300,,,,30 min,1800,0.5,,,sample mass,reported,,,4,Section 3.2; Fig. 4d,author_reported_text,,true
M-0074,S-F09-CTRL,SRC-0009,absorption,isothermal_kinetics,150 C,150,,,,60 min,3600,0.6,,,sample mass,reported,,,4,Section 3.2; Fig. 4c,author_reported_text,,true
M-0075,S-F10-NIOVC7,SRC-0010,desorption,isothermal_kinetics,598 K,324.85,<0.0001 bar,0.0001,<,400 s,400,6.51,,,sample mass,reported,,,5,Section 3.2; Fig. 5a,author_reported_text,,true
M-0076,S-F10-NIOVC7,SRC-0010,desorption,isothermal_kinetics,573 K,299.85,<0.0001 bar,0.0001,<,400 s,400,6.37,,,sample mass,reported,,,5,Section 3.2; Fig. 5a,author_reported_text,,true
M-0077,S-F10-NIOVC7,SRC-0010,desorption,isothermal_kinetics,548 K,274.85,<0.0001 bar,0.0001,<,400 s,400,4.67,,,sample mass,reported,,,5,Section 3.2; Fig. 5a,author_reported_text,,true
M-0078,S-F10-CTRL,SRC-0010,desorption,isothermal_kinetics,598 K,324.85,<0.0001 bar,0.0001,<,400 s,400,0.42,,,sample mass,reported,,,5,Section 3.2; Fig. 5a,author_reported_text,,true
M-0079,S-F10-NIOVC7,SRC-0010,absorption,isothermal_kinetics,373 K,99.85,2.5 MPa,25,=,500 s,500,2.5,,,sample mass,reported,,,5,Section 3.2; Fig. 5c,author_reported_text,,true
M-0080,S-F10-NIOVC7,SRC-0010,absorption,isothermal_kinetics,423 K,149.85,2.5 MPa,25,=,500 s,500,4.81,,,sample mass,reported,,,5,Section 3.2; Fig. 5c,author_reported_text,,true
M-0081,S-F10-OVC7,SRC-0010,absorption,isothermal_kinetics,423 K,149.85,2.5 MPa,25,=,900 s,900,1.68,,,sample mass,reported,,,5,Section 3.2; Fig. 5d,author_reported_text,,true
M-0082,S-F10-NIC7,SRC-0010,absorption,isothermal_kinetics,423 K,149.85,2.5 MPa,25,=,900 s,900,4.21,,,sample mass,greater_than,,,5,Section 3.2; Fig. 5d,author_reported_text,Numeric field stores the stated threshold; qualifier preserves greater-than semantics.,false
M-0083,S-F10-NIOVC7,SRC-0010,desorption,isothermal_kinetics,598 K,324.85,<0.0001 bar,0.0001,<,300 s,300,6.5,,,sample mass,reported,,,5,Section 3.2; Fig. S2,author_reported_text,,true
M-0084,S-F10-NIC7,SRC-0010,desorption,isothermal_kinetics,598 K,324.85,<0.0001 bar,0.0001,<,300 s,300,6.47,,,sample mass,reported,,,5,Section 3.2; Fig. S2,author_reported_text,,true
M-0085,S-F10-OVC7,SRC-0010,desorption,isothermal_kinetics,598 K,324.85,<0.0001 bar,0.0001,<,300 s,300,5.32,,,sample mass,reported,,,5,Section 3.2; Fig. S2,author_reported_text,,true
M-0086,S-F10-CTRL,SRC-0010,desorption,isothermal_kinetics,598 K,324.85,<0.0001 bar,0.0001,<,300 s,300,0.23,,,sample mass,reported,,,5,Section 3.2; Fig. S2,author_reported_text,,true
M-0087,S-F11-BTO10,SRC-0011,absorption,isothermal_kinetics,200 C,200,3 MPa,30,=,30 min,1800,5.14,,,sample mass,reported,,,6,Section 3.3; Fig. 3d,author_reported_text,,true
M-0088,S-F11-TIO2,SRC-0011,absorption,isothermal_kinetics,200 C,200,3 MPa,30,=,30 min,1800,3.95,,,sample mass,reported,,,6,Section 3.3; Fig. 3d,author_reported_text,,true
M-0089,S-F11-BTO10,SRC-0011,desorption,isothermal_kinetics,290 C,290,,,,15 min,900,6.3,,,sample mass,reported,,,7,Section 3.3; Fig. 3e,author_reported_text,,true
M-0090,S-F11-CTRL,SRC-0011,desorption,isothermal_kinetics,350 C,350,,,,20 min,1200,1.63,,,sample mass,reported,,,7,Section 3.3; Fig. 3e,author_reported_text,,true
M-0091,S-F11-BTO10,SRC-0011,absorption,isothermal_kinetics,200 C,200,3 MPa,30,=,60 min,3600,5.29,,,sample mass,reported,,,7,Section 3.3; Fig. 3f,author_reported_text,,true
M-0092,S-F11-CTRL,SRC-0011,absorption,isothermal_kinetics,200 C,200,3 MPa,30,=,60 min,3600,1.66,,,sample mass,reported,,,7,Section 3.3; Fig. 3f,author_reported_text,,true
M-0093,S-F12-NINB73,SRC-0012,desorption,isothermal_kinetics,235 C,235,0.001 MPa,0.01,=,20 min,1200,5.15,,,sample mass,reported,,,5,Section 3.2; Fig. 3b,author_reported_text,,true
M-0094,S-F12-NINB91,SRC-0012,desorption,isothermal_kinetics,235 C,235,0.001 MPa,0.01,=,20 min,1200,4.44,,,sample mass,reported,,,5,Section 3.2; Fig. 3b,author_reported_text,,true
M-0095,S-F12-NINB73,SRC-0012,desorption,isothermal_kinetics,250 C,250,0.001 MPa,0.01,=,10 min,600,6.18,,,sample mass,reported,,,5,Section 3.2; Fig. 3c,author_reported_text,,true
M-0096,S-F12-NINB91,SRC-0012,desorption,isothermal_kinetics,250 C,250,0.001 MPa,0.01,=,10 min,600,4.72,,,sample mass,reported,,,5,Section 3.2; Fig. 3c,author_reported_text,,true
M-0097,S-F12-CTRL,SRC-0012,desorption,isothermal_kinetics,350 C,350,0.001 MPa,0.01,=,10 min,600,2.47,,,sample mass,reported,,,5,Section 3.2; Fig. 3c,author_reported_text,,true
M-0098,S-F12-NINB73,SRC-0012,absorption,isothermal_kinetics,75 C,75,3 MPa,30,=,30 min,1800,3.7,,,sample mass,approximately,,,6,Section 3.2; Fig. 4b,author_reported_text,Conclusion reports 3.86 wt%; the results-section value is retained and the conflicting summary is not added as another observation.,true
M-0099,S-F12-NINB73,SRC-0012,absorption,isothermal_kinetics,125 C,125,3 MPa,30,=,10 min,600,4.87,,,sample mass,reported,,,6,Section 3.2; Fig. 4d,author_reported_text,,true
M-0100,S-F12-NINB91,SRC-0012,absorption,isothermal_kinetics,125 C,125,3 MPa,30,=,10 min,600,4.65,,,sample mass,reported,,,6,Section 3.2; Fig. 4d,author_reported_text,,true
M-0101,S-F13-MN,SRC-0013,desorption,isothermal_kinetics,280 C,280,0.01 bar,0.01,=,5 min,300,6.03,,,sample mass,reported,,,5,Results; Fig. 2d,author_reported_text,,true
