outer_source,grid_index,parameters,inner_grouped_mae
SRC-0008,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.216729286023427
SRC-0008,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.2105284362169069
SRC-0008,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.193741428241692
SRC-0008,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.2470750702824815
SRC-0009,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.2593390580938677
SRC-0009,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.3141990513169275
SRC-0009,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.2892399694065793
SRC-0009,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.2918969840126269
SRC-0009,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.2734165073607149
SRC-0009,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.319587384273142
SRC-0010,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.1748480203388552
SRC-0010,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.1312209199192997
SRC-0010,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.1873232168295091
SRC-0010,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.2263498035941223
SRC-0010,4,"{'iterations': 300, 'depth': 4, 'learning_rate': 0.05, 'l2_leaf_reg': 20.0}",1.1772816372601969
SRC-0010,5,"{'iterations': 350, 'depth': 5, 'learning_rate': 0.03, 'l2_leaf_reg': 20.0}",1.2386554003291843
SRC-0011,0,"{'iterations': 300, 'depth': 3, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.2861574667886846
SRC-0011,1,"{'iterations': 400, 'depth': 3, 'learning_rate': 0.05, 'l2_leaf_reg': 10.0}",1.2706862542798993
SRC-0011,2,"{'iterations': 350, 'depth': 4, 'learning_rate': 0.03, 'l2_leaf_reg': 10.0}",1.3077108644336024
SRC-0011,3,"{'iterations': 500, 'depth': 4, 'learning_rate': 0.02, 'l2_leaf_reg': 20.0}",1.2860139175083294
